name,ssn,phonenumber,home_address,email,state,license
Billy Jackson,2104793599,8521543,Kjarnagata,Billy@gmail.com,Not scheduled for flight today,CRJ-200
Jason Moreno,2408714389,7118822,Trollaborgir,Jason@gmail.com,In flight from Iceland,NABAE146
Frank Maggio,2503641259,8447214,Bollagardur 1,Frank@gmail.com,Not scheduled for flight today,CRJ-200
Jack Smith,1802582279,7224577,Berjarimi 5,Jack@gmail.com,In flight from Iceland,NABAE146
Aron Ings,2107863319,7221666,Asbru 10,Aron@gmail.com,Not scheduled for flight today,Q400
Bruce Newman,1909824369,8444218,Bessastadir,Bruce@gmail.com,Not scheduled for flight today,Q400
Robbie Simmons,1405883349,7762299,Asbru 5,Robbie@gmail.com,Not scheduled for flight today,Q400
Andy Hernichs,2801948869,8552163,Asvellir,Andy@gmail.com,Not scheduled for flight today,CRJ-200
Michael Mings,2902883319,8440192,Hraunholtsvegur,Michael@gmail.com,Not scheduled for flight today,NABAE146
Rhonda Franks,2207905479,7668172,Galgahraun,Rhonda@gmail.com,Not scheduled for flight today,NABAE146
